[RESULT] [ 83124.242868] Action name :RVS-GPUP-TC1
[RESULT] [ 83124.283880] Module name :gpup
[RESULT] [ 83124.284225] [RVS-GPUP-TC1] gpup 42583 capability 2889327296
[RESULT] [ 83124.284226] [RVS-GPUP-TC1] gpup 42583 capability2 1
[RESULT] [ 83124.284226] [RVS-GPUP-TC1] gpup 42583 debug_prop 1494
[RESULT] [ 83124.284226] [RVS-GPUP-TC1] gpup 42583 sdma_fw_version 12
[RESULT] [ 83124.284227] [RVS-GPUP-TC1] gpup 42583 unique_id 16941990701433615045
[RESULT] [ 83124.284227] [RVS-GPUP-TC1] gpup 42583 num_xcc 8
[RESULT] [ 83124.284227] [RVS-GPUP-TC1] gpup 42583 max_engine_clk_ccompute 3300
[RESULT] [ 83124.284235] [RVS-GPUP-TC1] gpup 42583 0 type 2
[RESULT] [ 83124.284235] [RVS-GPUP-TC1] gpup 42583 0 version_major 0
[RESULT] [ 83124.284235] [RVS-GPUP-TC1] gpup 42583 0 version_minor 0
[RESULT] [ 83124.284236] [RVS-GPUP-TC1] gpup 42583 0 node_from 3
[RESULT] [ 83124.284236] [RVS-GPUP-TC1] gpup 42583 0 node_to 0
[RESULT] [ 83124.284236] [RVS-GPUP-TC1] gpup 42583 0 weight 20
[RESULT] [ 83124.284236] [RVS-GPUP-TC1] gpup 42583 0 min_latency 0
[RESULT] [ 83124.284237] [RVS-GPUP-TC1] gpup 42583 0 max_latency 0
[RESULT] [ 83124.284237] [RVS-GPUP-TC1] gpup 42583 0 min_bandwidth 0
[RESULT] [ 83124.284237] [RVS-GPUP-TC1] gpup 42583 0 max_bandwidth 64000
[RESULT] [ 83124.284237] [RVS-GPUP-TC1] gpup 42583 0 recommended_transfer_size 0
[RESULT] [ 83124.284238] [RVS-GPUP-TC1] gpup 42583 0 recommended_sdma_engine_id_mask 3
[RESULT] [ 83124.284238] [RVS-GPUP-TC1] gpup 42583 0 flags 1
[RESULT] [ 83124.284241] [RVS-GPUP-TC1] gpup 42583 1 type 11
[RESULT] [ 83124.284242] [RVS-GPUP-TC1] gpup 42583 1 version_major 0
[RESULT] [ 83124.284242] [RVS-GPUP-TC1] gpup 42583 1 version_minor 0
[RESULT] [ 83124.284242] [RVS-GPUP-TC1] gpup 42583 1 node_from 3
[RESULT] [ 83124.284242] [RVS-GPUP-TC1] gpup 42583 1 node_to 2
[RESULT] [ 83124.284243] [RVS-GPUP-TC1] gpup 42583 1 weight 15
[RESULT] [ 83124.284243] [RVS-GPUP-TC1] gpup 42583 1 min_latency 0
[RESULT] [ 83124.284243] [RVS-GPUP-TC1] gpup 42583 1 max_latency 0
[RESULT] [ 83124.284243] [RVS-GPUP-TC1] gpup 42583 1 min_bandwidth 76000
[RESULT] [ 83124.284244] [RVS-GPUP-TC1] gpup 42583 1 max_bandwidth 76000
[RESULT] [ 83124.284244] [RVS-GPUP-TC1] gpup 42583 1 recommended_transfer_size 0
[RESULT] [ 83124.284244] [RVS-GPUP-TC1] gpup 42583 1 recommended_sdma_engine_id_mask 4096
[RESULT] [ 83124.284244] [RVS-GPUP-TC1] gpup 42583 1 flags 1
[RESULT] [ 83124.284248] [RVS-GPUP-TC1] gpup 42583 2 type 11
[RESULT] [ 83124.284248] [RVS-GPUP-TC1] gpup 42583 2 version_major 0
[RESULT] [ 83124.284248] [RVS-GPUP-TC1] gpup 42583 2 version_minor 0
[RESULT] [ 83124.284249] [RVS-GPUP-TC1] gpup 42583 2 node_from 3
[RESULT] [ 83124.284249] [RVS-GPUP-TC1] gpup 42583 2 node_to 4
[RESULT] [ 83124.284249] [RVS-GPUP-TC1] gpup 42583 2 weight 15
[RESULT] [ 83124.284249] [RVS-GPUP-TC1] gpup 42583 2 min_latency 0
[RESULT] [ 83124.284250] [RVS-GPUP-TC1] gpup 42583 2 max_latency 0
[RESULT] [ 83124.284250] [RVS-GPUP-TC1] gpup 42583 2 min_bandwidth 76000
[RESULT] [ 83124.284250] [RVS-GPUP-TC1] gpup 42583 2 max_bandwidth 76000
[RESULT] [ 83124.284251] [RVS-GPUP-TC1] gpup 42583 2 recommended_transfer_size 0
[RESULT] [ 83124.284251] [RVS-GPUP-TC1] gpup 42583 2 recommended_sdma_engine_id_mask 4
[RESULT] [ 83124.284251] [RVS-GPUP-TC1] gpup 42583 2 flags 1
[RESULT] [ 83124.284254] [RVS-GPUP-TC1] gpup 42583 3 type 11
[RESULT] [ 83124.284255] [RVS-GPUP-TC1] gpup 42583 3 version_major 0
[RESULT] [ 83124.284255] [RVS-GPUP-TC1] gpup 42583 3 version_minor 0
[RESULT] [ 83124.284255] [RVS-GPUP-TC1] gpup 42583 3 node_from 3
